value,datetime,datetime_utc,tz_time,geo_id,geo_name
253835.0,2025-01-03T03:00:00.000+01:00,2025-01-03T02:00:00Z,2025-01-03T02:00:00.000Z,8741,Península
250691.0,2025-01-03T04:00:00.000+01:00,2025-01-03T03:00:00Z,2025-01-03T03:00:00.000Z,8741,Península
255892.0,2025-01-03T05:00:00.000+01:00,2025-01-03T04:00:00Z,2025-01-03T04:00:00.000Z,8741,Península
285387.0,2025-01-03T06:00:00.000+01:00,2025-01-03T05:00:00Z,2025-01-03T05:00:00.000Z,8741,Península
324578.0,2025-01-03T07:00:00.000+01:00,2025-01-03T06:00:00Z,2025-01-03T06:00:00.000Z,8741,Península
359019.0,2025-01-03T08:00:00.000+01:00,2025-01-03T07:00:00Z,2025-01-03T07:00:00.000Z,8741,Península
378026.0,2025-01-03T09:00:00.000+01:00,2025-01-03T08:00:00Z,2025-01-03T08:00:00.000Z,8741,Península
380814.0,2025-01-03T10:00:00.000+01:00,2025-01-03T09:00:00Z,2025-01-03T09:00:00.000Z,8741,Península
376271.0,2025-01-03T11:00:00.000+01:00,2025-01-03T10:00:00Z,2025-01-03T10:00:00.000Z,8741,Península
374364.0,2025-01-03T12:00:00.000+01:00,2025-01-03T11:00:00Z,2025-01-03T11:00:00.000Z,8741,Península
375293.0,2025-01-03T13:00:00.000+01:00,2025-01-03T12:00:00Z,2025-01-03T12:00:00.000Z,8741,Península
374710.0,2025-01-03T14:00:00.000+01:00,2025-01-03T13:00:00Z,2025-01-03T13:00:00.000Z,8741,Península
364641.0,2025-01-03T15:00:00.000+01:00,2025-01-03T14:00:00Z,2025-01-03T14:00:00.000Z,8741,Península
365195.0,2025-01-03T16:00:00.000+01:00,2025-01-03T15:00:00Z,2025-01-03T15:00:00.000Z,8741,Península
375163.0,2025-01-03T17:00:00.000+01:00,2025-01-03T16:00:00Z,2025-01-03T16:00:00.000Z,8741,Península
396066.0,2025-01-03T18:00:00.000+01:00,2025-01-03T17:00:00Z,2025-01-03T17:00:00.000Z,8741,Península
401761.0,2025-01-03T19:00:00.000+01:00,2025-01-03T18:00:00Z,2025-01-03T18:00:00.000Z,8741,Península
405431.0,2025-01-03T20:00:00.000+01:00,2025-01-03T19:00:00Z,2025-01-03T19:00:00.000Z,8741,Península
399162.0,2025-01-03T21:00:00.000+01:00,2025-01-03T20:00:00Z,2025-01-03T20:00:00.000Z,8741,Península
368871.0,2025-01-03T22:00:00.000+01:00,2025-01-03T21:00:00Z,2025-01-03T21:00:00.000Z,8741,Península
336422.0,2025-01-03T23:00:00.000+01:00,2025-01-03T22:00:00Z,2025-01-03T22:00:00.000Z,8741,Península
309947.0,2025-01-04T00:00:00.000+01:00,2025-01-03T23:00:00Z,2025-01-03T23:00:00.000Z,8741,Península
283126.0,2025-01-04T01:00:00.000+01:00,2025-01-04T00:00:00Z,2025-01-04T00:00:00.000Z,8741,Península
262074.0,2025-01-04T02:00:00.000+01:00,2025-01-04T01:00:00Z,2025-01-04T01:00:00.000Z,8741,Península
251117.0,2025-01-04T03:00:00.000+01:00,2025-01-04T02:00:00Z,2025-01-04T02:00:00.000Z,8741,Península
246095.0,2025-01-04T04:00:00.000+01:00,2025-01-04T03:00:00Z,2025-01-04T03:00:00.000Z,8741,Península
246860.0,2025-01-04T05:00:00.000+01:00,2025-01-04T04:00:00Z,2025-01-04T04:00:00.000Z,8741,Península
255813.0,2025-01-04T06:00:00.000+01:00,2025-01-04T05:00:00Z,2025-01-04T05:00:00.000Z,8741,Península
274357.0,2025-01-04T07:00:00.000+01:00,2025-01-04T06:00:00Z,2025-01-04T06:00:00.000Z,8741,Península
293901.0,2025-01-04T08:00:00.000+01:00,2025-01-04T07:00:00Z,2025-01-04T07:00:00.000Z,8741,Península
317882.0,2025-01-04T09:00:00.000+01:00,2025-01-04T08:00:00Z,2025-01-04T08:00:00.000Z,8741,Península
334080.0,2025-01-04T10:00:00.000+01:00,2025-01-04T09:00:00Z,2025-01-04T09:00:00.000Z,8741,Península
331752.0,2025-01-04T11:00:00.000+01:00,2025-01-04T10:00:00Z,2025-01-04T10:00:00.000Z,8741,Península
